Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
62.324,0.00,49.67,-7.99,1.52
62.492,0.00,49.67,-7.99,1.52
62.624,0.00,21.69,-7.99,1.52
62.774,0.00,21.69,-8.22,1.52
62.909,0.00,21.69,-8.22,-0.22
63.074,0.00,21.69,-8.22,-0.22
63.224,0.00,30.63,-8.22,-0.22
63.374,0.00,30.63,-8.58,-0.22
63.524,0.00,30.63,-8.58,0.00
63.675,0.00,30.63,-8.58,0.00
63.825,0.00,0.00,-8.58,0.00
63.976,0.00,0.00,-8.43,0.00
64.125,0.00,0.00,-8.43,-1.95
64.274,0.00,0.00,-8.43,-1.95
64.411,0.00,0.00,-8.43,-1.95
64.545,0.00,0.00,-9.85,-1.95
64.695,0.00,0.00,-9.85,-1.95
64.861,0.00,0.00,-9.85,-1.95
64.995,0.00,33.44,-9.85,-1.95
65.145,0.00,33.44,-8.58,-1.95
65.295,0.00,33.44,-8.58,0.00
65.431,0.00,33.44,-8.58,0.00
65.566,0.00,35.10,-8.58,0.00
65.731,0.00,35.10,-8.45,0.00
65.865,0.00,35.10,-8.45,0.65
66.015,0.00,35.10,-8.45,0.65
66.165,0.00,47.85,-8.45,0.65
66.300,0.00,47.85,-7.56,0.65
66.466,0.00,47.85,-7.56,1.52
66.615,0.00,47.85,-7.56,1.52
66.780,0.00,52.81,-7.56,1.52
66.915,0.00,52.81,-7.70,1.52
67.065,0.00,52.81,-7.70,1.74
67.215,0.00,52.81,-7.70,1.74
67.365,0.00,61.75,-7.70,1.74
67.530,0.00,61.75,-6.37,1.74
67.665,0.00,61.75,-6.37,5.86
67.814,0.00,61.75,-6.37,5.86
67.967,0.00,69.87,-6.37,5.86
68.100,0.00,69.87,3.28,5.86
68.250,0.00,69.87,3.28,4.56
68.385,0.00,69.87,3.28,4.56
68.535,0.00,81.13,3.28,4.56
68.700,0.00,81.13,5.24,4.56
68.835,0.00,81.13,5.24,3.69
68.984,0.00,81.13,5.24,3.69
69.135,0.00,85.60,5.24,3.69
69.270,0.00,85.60,1.73,3.69
69.405,0.00,85.60,1.73,3.04
69.555,0.00,85.60,1.73,3.04
69.705,0.00,79.47,1.73,3.04
69.855,0.00,79.47,0.24,3.04
69.990,0.00,79.47,0.24,3.25
70.140,0.00,79.47,0.24,3.25
70.305,0.00,0.00,0.24,3.25
70.455,0.00,0.00,-0.09,3.25
70.619,0.00,0.00,-0.09,-5.42
70.755,0.03,0.00,-0.09,-5.42
70.905,0.03,0.00,-0.09,-5.42
71.055,0.03,0.00,4.37,-5.42
71.205,0.03,0.00,4.37,-4.56
71.355,0.03,0.00,4.37,-4.56
71.507,0.03,4.14,4.37,-4.56
71.639,0.03,4.14,10.86,-4.56
71.775,0.03,4.14,10.86,-0.87
71.925,0.00,4.14,10.86,-0.87
72.090,0.00,66.56,10.86,-0.87
72.225,0.00,66.56,4.32,-0.87
72.375,0.00,66.56,4.32,3.04
72.512,0.00,66.56,4.32,3.04
72.660,0.00,0.00,4.32,3.04
72.794,0.00,0.00,0.14,3.04
72.945,0.00,0.00,0.14,-3.69
73.095,0.02,0.00,0.14,-3.69
73.245,0.02,0.00,0.14,-3.69
73.395,0.02,0.00,-4.41,-3.69
73.529,0.02,0.00,-4.41,-3.69
73.710,0.02,0.00,-4.41,-3.69
73.935,0.02,26.99,-4.41,-3.69
74.070,0.02,26.99,-9.02,-3.69
74.235,0.02,26.99,-9.02,0.65
74.385,0.00,26.99,-9.02,0.65
74.534,0.00,64.73,-9.02,0.65
74.684,0.00,64.73,-6.10,0.65
74.834,0.00,64.73,-6.10,2.39
74.985,0.00,64.73,-6.10,2.39
75.134,0.00,64.40,-6.10,2.39
75.285,0.00,64.40,-3.53,2.39
75.421,0.00,64.40,-3.53,0.00
75.585,0.02,64.40,-3.53,0.00
75.734,0.02,0.00,-3.53,0.00
75.900,0.02,0.00,2.65,0.00
76.065,0.02,0.00,2.65,-3.91
76.215,0.00,0.00,2.65,-3.91
76.349,0.00,58.77,2.65,-3.91
76.501,0.00,58.77,10.78,-3.91
76.650,0.00,58.77,10.78,0.65
76.800,0.00,58.77,10.78,0.65
76.934,0.00,65.89,10.78,0.65
77.085,0.00,65.89,9.05,0.65
77.219,0.00,65.89,9.05,4.12
77.355,0.00,65.89,9.05,4.12
77.505,0.00,15.89,9.05,4.12
77.654,0.00,15.89,-1.70,4.12
77.820,0.00,15.89,-1.70,-4.99
77.985,0.04,15.89,-1.70,-4.99
78.134,0.04,0.00,-1.70,-4.99
78.300,0.04,0.00,-5.73,-4.99
78.465,0.04,0.00,-5.73,-6.51
78.615,0.05,0.00,-5.73,-6.51
78.779,0.05,16.06,-5.73,-6.51
78.945,0.05,16.06,-8.60,-6.51
79.094,0.05,16.06,-8.60,-1.30
79.275,0.00,16.06,-8.60,-1.30
79.425,0.00,32.95,-8.60,-1.30
79.575,0.00,32.95,-8.83,-1.30
79.739,0.00,32.95,-8.83,0.00
79.905,0.00,32.95,-8.83,0.00
80.101,0.00,15.73,-8.83,0.00
80.251,0.00,15.73,8.35,0.00
80.416,0.00,15.73,8.35,0.22
80.565,0.00,15.73,8.35,0.22
80.715,0.00,66.72,8.35,0.22
80.865,0.00,66.72,6.12,0.22
81.015,0.00,66.72,6.12,4.77
81.181,0.00,66.72,6.12,4.77
81.346,0.00,50.33,6.12,4.77
81.496,0.00,50.33,-8.77,4.77
81.630,0.00,50.33,-8.77,1.95
81.780,0.00,50.33,-8.77,1.95
81.929,0.00,65.07,-8.77,1.95
82.079,0.00,65.07,-5.74,1.95
82.231,0.00,65.07,-5.74,3.04
82.426,0.00,65.07,-5.74,3.04
82.590,0.00,74.17,-5.74,3.04
82.755,0.00,74.17,4.32,3.04
82.904,0.00,74.17,4.32,3.91
83.070,0.00,74.17,4.32,3.91
83.235,0.00,78.48,4.32,3.91
83.416,0.00,78.48,2.73,3.91
83.580,0.00,78.48,2.73,3.69
83.745,0.00,78.48,2.73,3.69
83.895,0.00,84.60,2.73,3.69
84.060,0.00,84.60,3.74,3.69
84.225,0.00,84.60,3.74,3.47
84.389,0.00,84.60,3.74,3.47
